あ		expr.	Ah; oh
動物園	どうぶつえん	n.	zoo; zoological gardens
道具	どうぐ	n.	tool
枝	えだ	n.	branch
遠慮	えんりょ	n.(suru)	reserve; refraining
選ぶ	えらぶ	v.(u. t.)	to choose
エスカレーター		n.(kat.)	escalator
ファックス		n.(suru kat.)	fax
不便	ふべん	n.(na-adj.)	inconvenience
増える	ふえる	v.(ru. i.)	to increase
深い	ふかい	adj.(i-adj.)	deep
復習	ふくしゅう	n.(suru)	review (of learned material); revision
複雑	ふくざつ	n.(na-adj.)	complexity; complication
踏む	ふむ	v.(u. t.)	to step on
船	ふね	n.	ship
降り出す	ふりだす	v.(u. i.)	to start to rain
布団	ふとん	n.	Japanese bedding, futon
太る	ふとる	v.(u. i.)	to become fat
普通	ふつう	n.	usually
ガラス		n.(kat.)	a glass
ガソリン		n.(kat.)	gasoline; petrol
ガソリンスタンド		n.(kat.)	petrol station
ガス		n.(kat.)	petrol
原因	げんいん	n.(suru)	cause
下宿	げしゅく	n.(suru)	lodging
技術	ぎじゅつ	n.	art,technology,skill
ごちそう		n.(suru)	a feast
ごみ		n.	rubbish
ご覧になる	ごらんになる	v.(u.)	(respectful) to see
ご主人	ごしゅじん	n.	your husband; her husband
ご存じ	ごぞんじ	n.	knowing
具合	ぐあい	n.	condition; health
葉	は	n.	leaves; leaf
拝見	はいけん	n.(suru)	seeing; looking at​
歯医者	はいしゃ	n.	dentist
はっきり		adv.	clearly
運ぶ	はこぶ	v.(u. t.)	to carry
花見	はなみ	n.(suru)	cherry blossom viewing; flower viewing
ハンドバッグ		n.(kat.)	handbag
反対	はんたい	n.(na-adj. suru)	opposition
払う	はらう	v.(u. t.)	to pay
発音	はつおん	n.(suru)	pronunciation
林	はやし	n.	woods; forest
恥ずかしい	はずかしい	adj.(i-adj.)	embarrassed
変	へん	n.(na-adj.)	strange; peculiar; weird
返事	へんじ	n.(suru)	reply; answer; response
火	ひ	n.	fire
酷い	ひどい	adj.(i-adj.)	terrible; awful​
冷える	ひえる	v.(ru. i.)	to grow cold
髭	ひげ	n.	beard
非常に	ひじょうに	adv.	extremely
光	ひかり	n.	light
光る	ひかる	v.(u. i.)	to shine
引き出し	ひきだし	n.	drawer
引き出す	ひきだす	v.(u. t.)	to withdraw
引っ越す	ひっこす	v.(u. i.)	to move house
飛行場	ひこうじょう	n.	airfield; airport
開く	ひらく	v.(u. i. t.)	to open; to undo; to unseal; to unpack
拾う	ひろう	v.(u. t.)	to pick up
昼間	ひるま	n.	daytime; during the day
昼休み	ひるやすみ	n.	lunch break; noon recess; noon rest period
久しぶり	ひさしぶり	n.(na-adj.)	after a long time
褒める	ほめる	v.(ru. t.)	to praise
翻訳	ほんやく	n.(suru)	translation
星	ほし	n.	star
ほとんど		Adverbial Noun	mostly
法律	ほうりつ	n.	law
放送	ほうそう	n.(suru)	to broadcast
一度	いちど	n.	once; one time; on one occasion
以外	いがい	n.	with the exception of; excepting
医学	いがく	n.	medical science; medicine
いじめる		v.(ru. t.)	to tease
以上	いじょう	n.	... and more; ... and upwards​
以下	いか	n.	not exceeding
意見	いけん	n.(suru)	opinion; view; comment
生き物	いきもの	n.	living thing
生きる	いきる	v.(ru. i.)	to live
以内	いない	n.	within
田舎	いなか	n.	countryside
祈る	いのる	v.(u. t.)	to pray
いっぱい		n.(na-adj.)	full
色んな	いろんな	pren.	various
石	いし	n.	stone
急ぐ	いそぐ	v.(u. i.)	to hurry; to rush; to hasten; to make something happen sooner
一生懸命	いっしょうけんめい	n.(na-adj.)	very hard; with utmost effort
頂く	いただく	v.(u. t.)	(humble) to receive
致す	いたす	v.(u. t.)	(humble) to do
糸	いと	n.	thread
ジャム		n.(kat.)	jam
字	じ	n.	character
時代	じだい	n.	period
事故	じこ	n.	accident
事務所	じむしょ	n.	office
神社	じんじゃ	n.	Shinto shrine
人口	じんこう	n.	population
人生	じんせい	n.	human life
地震	じしん	n.	earthquake
辞典	じてん	n.	dictionary
自由	じゆう	n.(na-adj.)	freedom
女性	じょせい	n.	woman; female
準備	じゅんび	n.(suru)	to prepare
十分	じゅうぶん	n.(na-adj.)	enough; sufficient; plenty; adequate; satisfactory
柔道	じゅうどう	n.	judo
住所	じゅうしょ	n.	address
カーテン		n.(kat.)	curtain
壁	かべ	n.	wall
課長	かちょう	n.	section manager; section chief
帰り	かえり	n.	return; coming back
変える	かえる	v.(ru. t.)	to change; to transform
科学	かがく	n.	science
鏡	かがみ	n.	mirror
海岸	かいがん	n.	coast
会議	かいぎ	n.(suru)	meeting; conference; session; assembly
会議室	かいぎしつ	n.	conference room; conference hall; council room
会場	かいじょう	n.	assembly hall; meeting place; venue; grounds
会話	かいわ	n.(suru)	conversation
火事	かじ	n.	fire
格好	かっこう	n.	appearance
